protein_A,protein_B,interacts
Q9NWS0,P14866,Yes
P68871,P63165,No
P36957,Q92597,Yes
Q8TDM6,Q13200,No
Q13332,P63146,No
P00533,Q15843,No
P02787,P37198,No
P46531,Q14974,Yes
Q13501,P68036,No
Q92990,P45984,No
P04632,Q9HD15,No
P68871,Q06830,No
P08559,O75208,No
P61289,P23528,No
P61221,O95831,Yes
Q9NTG7,O95466,No
P53350,Q93077,No
Q14181,O14733,No
P62937,Q16643,No
P27707,Q08945,No
O75525,Q9GZU1,No
Q9UKM9,Q9Y6I3,No
Q92597,Q9HD15,No
Q9NXU5,Q9NPH0,No
Q12772,P23246,No
Q9Y2S7,Q9HD15,No
P68032,Q93015,Yes
Q15645,O95571,No
P09651,P63146,No
P04179,P33240,No
P18858,O60502,No
Q16827,Q9H169,No
Q13526,Q8N2Y8,No
Q06609,P04637,Yes
P11142,P18858,No
Q03164,P60484,Yes
Q99496,Q15843,Yes
P36957,P62937,No
Q9H1J1,Q93077,No
Q13123,P16403,No
P04439,P84077,Yes
P51693,Q86YL7,No
Q00610,P02768,No
O60256,Q9UBS3,No
P23528,Q9NQC3,Yes
P55209,Q9BV38,No
P24522,Q9GZU1,No
Q96B02,P61289,No
Q15645,Q9UBT2,No
Q15181,P63000,No
P56470,Q13263,No
Q9NYY3,P08243,No
Q9Y233,Q16760,No
P11142,P41250,Yes
P27448,P15822,No
P01040,Q06609,Yes
Q09472,P14618,Yes
Q9HD67,Q9BPX5,No
Q13510,P07602,Yes
P53350,P08670,Yes
Q13332,P32004,No
Q92692,Q9P2R6,No
Q969W0,Q9NZM3,No
P27707,P34896,No
Q14683,Q07864,Yes
O76071,P51513,No
Q08345,Q92597,No
P09936,O43765,No
O00291,P04899,No
P19838,O95831,Yes
P08758,P50570,No
Q96GD4,O96013,No
P11021,O00257,No
P18669,Q9NWZ3,No
Q9H8U3,O15031,No
P61011,Q9Y4P1,Yes
P98175,Q15046,No
P12429,Q9UMS0,No
Q13813,P20700,Yes
P29074,Q9UNN5,No
P35080,P50591,No
P36957,P52209,No
P47897,O95466,No
P41567,P55769,Yes
P52298,Q15645,Yes
Q9UER7,P04637,Yes
P07858,Q13765,No
P11309,P16435,No
Q969X0,Q9BVJ7,No
P12956,Q9NYQ6,No
P41567,Q9Y2M5,No
Q969W0,P15090,No
P60033,Q9UM54,No
P37268,P55209,No
A4D1P6,Q13885,No
Q8IX03,Q8WWQ0,No
O43252,P58340,No
O95166,P60520,Yes
O75348,O14717,No
P80098,P50336,No
P14866,Q92597,Yes
Q9NXU5,Q12962,No
O95630,P04637,Yes
Q9NPI1,P38936,No
Q9HD67,P05305,No
Q8WWQ0,P24593,No
O60256,Q13232,No
Q15047,O60671,No
Q15811,Q99962,Yes
P46379,O94953,No
Q9C026,Q13501,No
Q07866,Q9BXJ8,No
Q9BSI4,P29692,Yes
P11169,Q13113,No
O60502,P04637,Yes
Q9UHX1,O15496,No
P62979,P60709,Yes
Q9H773,Q96B86,No
O14678,Q9BPU6,No
Q16827,P84077,No
Q08379,P56192,No
P61221,Q8NE71,Yes
P35579,P08590,Yes
P07814,P68402,No
P29762,Q96RR1,No
P19793,Q96HS1,No
Q9H0B6,P55774,No
O94761,P61970,No
P29692,Q15434,No
O14733,Q92995,No
Q14181,Q92597,No
P22736,P04181,No
Q16643,Q92879,No
Q08945,P47929,No
P19256,Q14690,No
Q96B86,O14832,No
Q8N2I9,P48443,Yes
O95163,Q15011,No
Q15645,P63279,No
Q96GM8,P29762,No
O43312,Q9H0E2,No
P11169,P05026,No
Q08345,Q14203,No
Q96IZ0,Q9UNE7,No
P62937,P61026,Yes
P62995,P35609,No
P61289,Q9UKM9,No
Q86VP1,Q9H5I1,No
Q9NTG7,Q9H095,No
Q969W0,Q9UMS0,No
Q05516,Q15811,No
P11021,Q9BPX5,No
P24522,Q14807,No
Q9GZQ8,P11766,No
Q9BXR0,P83916,No
O60260,P16220,Yes
O60885,Q12962,Yes
Q96CS7,Q99496,No
P02768,P61769,Yes
O00445,P45984,No
O15169,Q15119,No
P08243,Q96FE5,No
Q9H4M7,O14744,Yes
P06730,O15371,Yes
Q9GZT6,Q9P2R6,No
Q9UNE7,Q13501,Yes
P47897,Q9NQW7,No
P18858,Q13113,No
P29762,Q8WUM4,No
Q99963,Q12809,No
Q13813,Q13501,No
P04632,Q9ULC4,No
O75936,O43252,No
O76003,P09211,No
Q96RR1,P34913,No
Q8NFP9,Q08116,No
Q7L2H7,Q96Q04,No
P18669,O75348,No
P07602,Q8TBC4,No
O00151,Q9Y343,No
Q9BYC9,P00491,No
Q08495,Q9NX46,No
P50914,P60520,Yes
Q12840,Q13263,No
Q13885,P23284,No
Q7L5D6,Q8N159,No
Q14919,Q9UNI6,No
Q9H8U3,P56945,No
P47224,P55789,No
P13747,Q9H668,Yes
P04637,Q9NS87,No
P55081,O43809,Yes
Q9Y4W6,Q9Y295,No
P59998,Q9UMS0,No
P57060,P00918,No
Q06323,P05026,No
P24522,Q13501,Yes
P07858,O00151,No
Q9BYC9,P46531,No
Q13432,Q9Y483,No
O60256,P62070,No
Q13459,Q8IXH7,No
P68032,Q86YV5,No
P04179,Q96KB5,No
P30153,Q13951,No
Q13501,Q9NTM9,No
Q13523,Q14318,No
O95568,P00918,No
P46100,Q9UER7,Yes
Q96GM8,Q9BPX5,No
Q96RL1,O95831,No
P02792,P51784,No
Q9H0H5,Q13625,No
P34896,Q96JB3,No
P55789,P16435,No
P61769,Q13330,No
Q9UPY8,O00267,No
Q9Y237,Q8WWI1,No
Q8WV44,P25189,No
P09651,P36957,No
P46379,P24666,No
Q9Y4P8,Q99081,No
Q9UQ80,P11142,Yes
O00762,P28066,Yes
P60880,Q14524,No
Q9UER7,P62937,Yes
P19419,P02774,No
Q92481,Q15645,No
Q16881,P04179,Yes
Q12840,P60174,No
Q12840,Q9Y6H5,No
P60880,P20338,No
Q96GM8,P00491,No
P04637,Q99567,No
Q15121,O95372,No
Q96PU5,P07858,No
P39748,P09651,Yes
Q16881,Q96L34,No
Q8N6T3,Q13227,No
Q9BYC9,Q14203,No
P68036,Q9UK61,No
Q9UBT2,Q92995,No
Q14204,P42858,Yes
P13686,P42773,No
P51784,P22314,Yes
Q14690,Q9BYD6,Yes
O14976,Q9H5I1,No
P42858,P35609,Yes
O95704,Q9Y6I3,No
O60260,P12004,Yes
Q86VP1,O15235,No
O15197,Q13625,No
Q9NYV4,P19793,Yes
O00445,Q13148,No
Q99250,O95760,No
O60260,O43390,Yes
P63000,O95989,No
P54578,O95994,Yes
P42858,Q15011,Yes
P09104,Q9NWV4,No
O75674,P60174,No
Q9BYC9,Q92598,No
Q9H063,P58340,No
O60260,P01215,No
Q03393,Q9UBS3,No
P48443,P26358,No
P38936,P53041,No
O75400,O75899,No
Q13325,Q149N8,No
P05109,P04637,Yes
Q86VP6,P37198,Yes
P63167,Q8IXH7,No
P51693,O00445,No
O75962,Q9NYQ6,No
Q9Y4P8,Q9UQ90,No
P22670,O15496,No
O75251,P47756,No
P61011,O14893,Yes
Q9HCK4,Q8TBC4,No
P24394,P56192,No
Q9NYY3,P24666,No
P18206,P41220,No
P11021,P10809,Yes
Q12772,Q9UQB8,No
P13497,Q8N2I9,No
Q00013,Q9H1I8,No
P56470,P06746,No
Q13158,P15882,No
P62995,P31689,Yes
P19793,Q9NPJ4,Yes
P24522,Q6IBS0,No
Q9UHX1,Q02363,No
P43034,O15235,No
P08670,O75569,No
O43570,P30086,No
P23381,Q92598,No
Q14240,Q13765,No
Q16658,Q00536,No
Q969W0,P47929,No
P0DP23,Q99496,Yes
Q96CS7,O60885,No
Q16827,P61970,No
O60884,P60903,No
P09960,P05026,No
P19838,O75832,Yes
P07858,Q96Q04,No
Q9P287,Q9GZQ8,No
Q16658,Q9UQ90,No
Q12852,O95425,No
P60484,Q9UNE7,Yes
P68871,Q9NWY4,No
P49419,Q92879,No
Q9NXU5,O95466,No
O14732,P05231,No
Q8TBC4,P60520,Yes
Q09472,P12931,Yes
Q12840,P52756,No
Q96EP1,Q9HD15,No
Q9HD67,Q15583,No
Q9H0B6,Q99685,No
P14902,P61289,No
P61956,P17480,No
O15197,Q9UHX1,No
Q13501,O14744,No
O94762,Q9H169,No
